koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_model_snr
CONFIRMED,16.08518937,0.867,3.984,1.44E+03,3.68,62.6
CANDIDATE,235.9986399,0.778,8.2284,2.07E+04,10.59,271.8
CONFIRMED,7.49018305,0.02,2.7297,1.12E+03,2.56,53
CONFIRMED,36.2761238,0.035,4.7865,1.57E+03,3.03,45.5
CONFIRMED,17.46087931,0.594,2.2641,8.12E+02,2.32,22.6
CONFIRMED,56.0560754,0.018,4.685,1.63E+03,1.94,27.4
CONFIRMED,41.40831669,0.377,5.0264,2.28E+04,11.38,907.8
CANDIDATE,39.74893077,0.881,7.3051,1.52E+04,14.21,561.1
CONFIRMED,5.715425977,0.348,2.5242,9.08E+02,2.47,59.4
CONFIRMED,49.18394185,0.035,11.3364,1.65E+03,8.2,355.7
CONFIRMED,20.0261412,0.957,1.611,4.21E+02,2.28,10.7
CANDIDATE,13.61014819,1.081,2.594,5.73E+03,19.02,184.1
FALSE POSITIVE,10.44331991,0.23,2.743,1.16E+03,2.66,51.7
CONFIRMED,2.237489571,0.128,1.8119,3.16E+02,1.41,30.7
FALSE POSITIVE,5.851520671,0.211,3.11058,3.30E+04,14.62,1630.4
CONFIRMED,3.167893418,0.026,2.1814,7.81E+02,2.62,64.8
CONFIRMED,4.311780262,0.196,2.7251,1.15E+03,3.11,86.1
CONFIRMED,20.0504494,0.383,4.556,8.41E+02,2.69,37.8
CONFIRMED,9.76734503,0.9,1.6585,5.69E+02,2.67,21.1
CANDIDATE,119.0207044,0.076,8.1405,7.43E+03,8.98,223.5
CONFIRMED,190.3200468,0.812,15.284,1.14E+03,7.78,139.3
FALSE POSITIVE,2.861159894,0.965,1.8832,1.01E+03,4.37,58.3
CONFIRMED,26.44439337,0.03,3.9783,1.84E+03,3.91,88
CONFIRMED,51.53997972,0.183,6.3994,3.64E+03,5.51,155.5
CONFIRMED,5.902245782,0.209,2.9003,7.02E+02,2.43,59.3
CONFIRMED,2.382951591,0.479,1.8876,3.92E+02,1.86,41.4
CONFIRMED,21.02250608,0.036,4.1072,1.77E+03,3.07,62.4
CONFIRMED,3.219814777,0.06,2.0642,4.88E+02,1.69,30.5
CONFIRMED,5.912273234,0.17,2.3254,9.61E+02,1.73,62.8
CONFIRMED,8.98581901,0.008,2.8606,8.81E+02,1.65,51.8
CANDIDATE,12.94066866,0.897,2.4845,4.25E+04,22.94,307.5
FALSE POSITIVE,20.5452375,0.95,2.517,2.19E+02,2.41,18.5
CONFIRMED,33.60123371,0.67,4.4056,7.43E+03,8.46,247.9
CONFIRMED,6.76652928,0.429,2.9004,4.51E+02,1.97,29.2
CONFIRMED,4.347288783,0.025,2.1024,4.52E+02,2.36,39.7
CONFIRMED,4.601811819,0.567,2.2607,7.56E+02,2.35,60.8
CONFIRMED,11.18719905,0.387,3.252,3.54E+02,1.55,21.9
CANDIDATE,4.220965778,0.705,3.0854,2.26E+03,2.62,157.8
FALSE POSITIVE,6.998099523,7.361,2.0488,2.03E+04,588.66,192.3
CONFIRMED,5.95489993,0.327,2.3892,1.41E+03,2.33,87.2
CONFIRMED,12.03987488,0.286,2.7363,1.25E+03,2.18,57.6
CONFIRMED,20.83762895,0.706,2.3734,4.39E+02,1.42,14.9
FALSE POSITIVE,8.8111022,1.223,5.0683,4.01E+02,63.66,76.8
CONFIRMED,23.58917143,0.926,5.073,1.20E+03,3.16,53.3
CONFIRMED,6.481633073,0.833,3.784,2.99E+02,2.54,125.6
CONFIRMED,10.37168928,0.537,3.035,1.25E+03,3.2,64.5
CONFIRMED,3.96996298,0.836,1.1757,2.99E+02,1.78,15
CONFIRMED,4.40841331,0.899,5.012,5.49E+02,2.66,45.1
FALSE POSITIVE,7.9426176,0.942,6.703,1.59E+03,4.68,60.4
CONFIRMED,226.8904775,0.731,7.558,3.14E+03,4.53,46.8
