koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_model_snr
CANDIDATE,5.3694084,0.837,3.949,4.00E+01,0.62,8
CANDIDATE,5.65690281,0.014,3.583,3.22E+01,0.74,10.4
FALSE POSITIVE,0.734573766,0.044,1.295,6.84E+01,0.86,11.4
FALSE POSITIVE,289.86046,0.3711,11.103,2.35E+02,1.5,10.3
FALSE POSITIVE,357.13089,0.1365,13.04,3.31E+02,1.62,11.8
FALSE POSITIVE,370.50684,0.0647,12.132,4.19E+02,2.06,8.8
FALSE POSITIVE,1.332580225,0.519,2.057,4.63E+01,2.18,16.4
CANDIDATE,7.4299322,0.826,4.013,1.65E+02,1.81,9.8
CANDIDATE,79.334347,0.652,10.886,1.65E+02,1.56,14.6
CANDIDATE,5.68251605,0,3.479,8.12E+01,1.03,9.4
CANDIDATE,7.99144696,0.94,3.639,1.45E+02,1.53,12.8
FALSE POSITIVE,2.9039446,0.686,10.542,1.31E+01,1.17,32
FALSE POSITIVE,68.538296,0.002,3.627,1.09E+03,25.77,11.3
CANDIDATE,4.52628739,0.5,3.736,9.96E+01,1.02,12.5
FALSE POSITIVE,369.7985,0.1382,12.564,1.11E+03,2.53,11.1
FALSE POSITIVE,6.5588346,0.7173,3.034,4.12E+01,0.7,8.1
FALSE POSITIVE,0.643007769,0.012,0.69,6.81E+01,0.35,10.3
CANDIDATE,0.597018404,0.44,0.4778,2.45E+02,1.09,16.5
FALSE POSITIVE,1.061937837,0.125,2.31,5.20E+01,0.68,16.3
CANDIDATE,4.82025124,0.538,2.129,9.41E+01,0.78,8.5
CANDIDATE,12.4019263,0.924,4.043,2.11E+02,1.49,9.5
CANDIDATE,152.823896,0.119,7.734,4.56E+02,2.45,9.9
FALSE POSITIVE,15.07277287,0.891,0.7794,3.45E+02,1.73,13
FALSE POSITIVE,1.71659304,0.1534,1.154,1.38E+02,1.17,9.5
CANDIDATE,6.80899076,1.9253,2.077,1.19E+03,89.29,11.5
CANDIDATE,77.915425,0.448,8.274,1.79E+02,1.17,9.2
FALSE POSITIVE,358.818895,0.825,2.503,6.66E+02,2.66,11.5
FALSE POSITIVE,181.3537,0.5983,16.19,4.55E+02,2.11,11.7
CANDIDATE,284.727213,0.316,10.299,3.55E+02,2.02,12.7
FALSE POSITIVE,3.74786694,0.49,3.632,8.09E+01,0.89,19.1
CANDIDATE,30.5392931,0.045,6.887,4.28E+02,2.72,15
FALSE POSITIVE,0.913244995,0.286,0.4931,4.78E+01,0.77,10.2
FALSE POSITIVE,2.97599368,0.243,4.023,5.50E+01,0.79,13
CANDIDATE,8.31224474,1.111,2.663,7.08E+01,10.63,12.2
FALSE POSITIVE,0.584148495,0.584,1.6192,6.62E+01,0.87,21.9
CANDIDATE,12.6362048,0.174,3.961,1.24E+02,1.1,11.5
FALSE POSITIVE,0.824180121,1.171,2.839,2.08E+02,17.8,39.7
FALSE POSITIVE,0.579770948,0.946,1.0377,4.68E+02,2.4,44.3
CANDIDATE,23.266633,0.092,8.315,4.99E+01,2.66,11.4
FALSE POSITIVE,0.92225589,0.992,4.227,3.30E+01,1.29,7.1
CANDIDATE,7.94004281,0.004,3.282,8.19E+01,0.98,10.7
CANDIDATE,2.85855049,0.972,2.341,8.54E+01,1.23,11.4
FALSE POSITIVE,0.75499096,0.322,2.485,2.16E+02,1.39,9.9
FALSE POSITIVE,353.40191,0.4702,6.681,9.48E+02,2.35,9.1
CANDIDATE,8.95294046,0.718,2.995,4.40E+01,0.86,13
FALSE POSITIVE,1.428596987,0.7017,2.1401,5.00E+01,1.62,26.1
CANDIDATE,4.84350003,0.906,3.045,5.02E+01,0.9,10.4
CANDIDATE,45.163025,0.2057,7.03,1.30E+02,2.35,8.7
CANDIDATE,36.7614011,0.984,15.982,1.61E+02,1.52,16.2
CANDIDATE,4.373570433,0.1,0.623,3.66E+02,1.23,14.5
FALSE POSITIVE,2.21701025,0.0662,2.148,2.94E+01,1.16,11.7
FALSE POSITIVE,43.0759115,1.256,90.95,3.45E+03,213.46,323.1
CANDIDATE,154.674369,0.777,9.35,4.36E+02,2.29,13.5
FALSE POSITIVE,372.62637,0.5353,18.52,5.42E+02,2.38,11.9
FALSE POSITIVE,1.02087831,0.148,2.429,3.34E+01,0.64,9.9
FALSE POSITIVE,1.26132769,0.289,1.244,1.10E+02,0.14,9.9
FALSE POSITIVE,6.09406648,1.235,2.085,3.03E+03,54.54,19
FALSE POSITIVE,1.1578141,0.564,3.253,5.48E+01,1.24,27.8
CANDIDATE,15.9513866,0.197,2.285,9.92E+01,1.17,9.2
FALSE POSITIVE,0.566800926,0.971,4.407,2.65E+02,2.19,63.2
FALSE POSITIVE,24.1876477,1.8212,2.654,1.95E+02,118.8,11.4
CANDIDATE,7.7859111,0.675,7.788,4.55E+01,0.68,12
FALSE POSITIVE,2.44926655,0.253,2.988,1.08E+02,0.76,10.7
FALSE POSITIVE,2.17812826,0.344,2.601,1.01E+02,0.81,10.4
CANDIDATE,31.183688,0.8319,6.14,1.40E+02,3.21,7.9
FALSE POSITIVE,1.33259494,0.104,2.783,9.27E+01,0.89,7.8
FALSE POSITIVE,2.05048377,0.013,3.67,6.05E+01,0.66,14.3
FALSE POSITIVE,1.19550618,0.483,3.337,2.69E+01,0.78,13.3
CANDIDATE,2.94242323,0.447,1.519,2.93E+02,1.42,14.7
FALSE POSITIVE,0.683082998,0.694,4.409,1.43E+02,9.92,26.1
FALSE POSITIVE,0.791771167,1.224,2.4463,5.09E+02,82.71,82.4
FALSE POSITIVE,0.894172544,0.162,0.8302,8.62E+01,0.68,16.9
FALSE POSITIVE,1.68207624,0.56,1.519,5.47E+01,1.01,11.1
FALSE POSITIVE,9.8480917,0.127,3.079,1.42E+02,0.88,9.7
FALSE POSITIVE,0.566800593,0.2,3.909,1.23E+01,0.48,10.4
FALSE POSITIVE,0.969602551,0.415,1.728,1.11E+02,0.69,10.4
CANDIDATE,13.0914878,0.145,2.037,3.75E+01,0.79,8
FALSE POSITIVE,9.25801294,0.186,2.854,8.81E+01,1.73,12.9
FALSE POSITIVE,25.9554044,0.952,8.491,1.23E+02,1.46,11.6
FALSE POSITIVE,3.74788208,0.09,4.183,1.53E+02,0.94,13.6
FALSE POSITIVE,0.93479255,1.2,4.5838,2.48E+02,24.75,78.3
FALSE POSITIVE,361.43653,0.2175,9.08,2.72E+02,1.56,10.8
FALSE POSITIVE,0.89628253,0.176,1.397,8.64E+01,0.76,13
FALSE POSITIVE,1.67495622,0.399,2.994,3.59E+01,0.77,15.3
CANDIDATE,54.0812235,0.182,6.279,4.11E+02,1.54,11.6
FALSE POSITIVE,8.2344072,0.812,2.808,5.92E+01,1.49,11.5
FALSE POSITIVE,2.15052332,0.0303,3.447,1.16E+02,1.17,11
FALSE POSITIVE,32.6122381,1.252,2.886,1.32E+03,31.96,19.6
FALSE POSITIVE,0.967073359,1.222,2.4875,7.74E+02,28.15,92.4
FALSE POSITIVE,3.5564279,0.359,6.998,1.31E+02,0.8,12.3
FALSE POSITIVE,0.942997994,0.153,1.1658,5.39E+02,1.56,29.2
FALSE POSITIVE,0.566796775,0.974,5.471,1.44E+02,0.61,32.2
CONFIRMED,13.6471211,0.617,8.331,7.50E+01,1.25,14.7
CONFIRMED,16.473474,0.014,4.201,4.71E+02,1.63,13
FALSE POSITIVE,3.74788322,0.544,3.45,2.43E+02,1.32,16.3
FALSE POSITIVE,0.705455349,0.447,2.469,7.49E+01,0.64,18
FALSE POSITIVE,488.67353,0.432,12.35,6.91E+02,2.03,8.2
CANDIDATE,8.5291223,0.606,3.241,3.25E+02,2.08,12.8
FALSE POSITIVE,1.08906057,0.29,2.743,7.62E+01,0.75,10.4
FALSE POSITIVE,1.48922187,0.393,1.882,6.14E+02,2.5,10.8
FALSE POSITIVE,0.716709761,0.986,0.6969,6.84E+01,1.42,21.2
FALSE POSITIVE,4.1083812,0.148,3.279,3.53E+02,1.62,11.4
CANDIDATE,1.962282625,0.169,1.45,6.83E+01,0.81,12.9
FALSE POSITIVE,0.523629052,0.045,3.443,1.22E+02,46.33,61.4
CANDIDATE,6.4546845,0.93,3.071,6.99E+01,1.38,10.8
FALSE POSITIVE,1.04588635,0.204,2.833,1.03E+02,1.1,13.2
FALSE POSITIVE,51.31346091,,3.94,,,
CANDIDATE,0.494247662,0.366,1.2443,2.25E+02,1.51,18.1
CANDIDATE,11.8299383,0.502,5.168,4.14E+01,1.6,11.7
FALSE POSITIVE,419.92898,0.0299,14.55,2.34E+02,1.51,7.5
FALSE POSITIVE,1.23521458,0.458,0.918,8.95E+01,0.93,5
FALSE POSITIVE,1.085229874,0.439,0.652,2.38E+02,1.37,7.6
FALSE POSITIVE,1.540379557,0.329,2.026,7.69E+01,0.81,14.6
CANDIDATE,5.30179786,0.357,2.24,1.97E+02,1.22,11.5
CONFIRMED,3.60011712,0.025,2.396,5.02E+01,0.5,21.6
CANDIDATE,9.32867952,0.035,1.572,3.54E+02,1.62,12.7
CANDIDATE,6.38671206,0.015,1.201,2.24E+02,1.19,11.6
FALSE POSITIVE,158.348345,3.655,10.55,8.99E+02,372.86,17.6
CANDIDATE,0.849362238,0.453,1.36,1.15E+02,0.85,11.9
CANDIDATE,0.741768294,1.201,0.4164,6.03E+01,72.36,14
FALSE POSITIVE,0.93376962,1.142,7.023,1.26E+02,16.3,28.5
FALSE POSITIVE,322.48381,0.938,22.99,1.02E+03,3.5,27
CANDIDATE,61.083322,0.649,10.396,2.28E+02,1.61,11.5
CANDIDATE,3.5944891,0.041,2.557,8.99E+01,0.98,10.4
FALSE POSITIVE,0.739404894,0.077,1.753,2.47E+02,0.94,21
CANDIDATE,4.8608059,0.374,1.966,2.52E+02,1.21,8.9
CANDIDATE,4.04481159,0.393,2.479,3.30E+01,0.67,7.5
FALSE POSITIVE,25.94964132,0.945,11.6411,6.78E+01,2.06,7.6
FALSE POSITIVE,1.71051215,0.057,1.284,4.22E+01,1.04,11.2
CONFIRMED,62.869463,0.954,6.842,3.42E+02,1.96,16.2
FALSE POSITIVE,84.8062818,1.265,9.0006,9.94E+03,36.51,121.6
CONFIRMED,29.9632816,0.855,2.6,8.93E+02,2.24,17.7
FALSE POSITIVE,17.99643716,1.122,4.164,3.69E+04,30.08,123.5
CONFIRMED,11.63486009,0.053,5.466,2.92E+02,2.61,18.4
CANDIDATE,4.8302364,0.316,7.983,2.25E+01,1.06,11.6
CANDIDATE,56.446465,0.874,7.371,1.48E+02,1.57,12.4
CANDIDATE,31.4202111,0.075,4.021,3.91E+02,1.45,10.6
CONFIRMED,10.8118317,0.896,2.627,7.68E+01,1.24,9.5
CANDIDATE,5.56676609,0.392,1.812,1.74E+02,1.12,12
FALSE POSITIVE,1.208528832,0.039,1.336,1.81E+02,1.25,10.6
FALSE POSITIVE,208.1871179,0.321,2.5404,3.95E+02,1.99,4.2
FALSE POSITIVE,0.93198504,1.19,2.0472,3.27E+02,17.72,44.5
FALSE POSITIVE,0.60818508,1.835,0.909,1.45E+02,96.03,18.9
CANDIDATE,5.38613715,0.197,1.943,1.69E+02,0.86,8.9
CANDIDATE,13.2965044,0.902,5.68,1.33E+02,0.88,9.1
CANDIDATE,21.8420304,0.208,3.843,7.95E+01,2.01,9.5
FALSE POSITIVE,1.65320144,0.148,1.525,1.32E+02,0.74,6.7
FALSE POSITIVE,3.37487541,0.389,3.085,5.38E+01,0.75,8.3
FALSE POSITIVE,0.962825082,0.088,2.8464,1.18E+02,5.18,40.7
FALSE POSITIVE,309.494217,0.0542,13.716,2.92E+02,2.79,14.5
CANDIDATE,0.876850385,0.049,1.534,5.92E+01,1.35,9.7
FALSE POSITIVE,24.2382519,0.82,2.703,4.66E+02,2.19,11.3
FALSE POSITIVE,24.2416103,0.069,5.137,3.23E+02,1.61,10.8
CANDIDATE,413.51856,0.019,10.395,3.91E+02,1.96,7.9
CANDIDATE,20.7106368,0.604,2.693,1.43E+02,1.12,11
FALSE POSITIVE,69.3788597,0.539,3.807,5.30E+02,2.07,16.8
CONFIRMED,29.3493852,0.75,4.313,6.59E+02,2.02,20.3
CANDIDATE,3.43633133,0.114,0.675,4.74E+02,1.44,14.5
FALSE POSITIVE,449.57274,0.2059,9.328,2.21E+02,3.08,14.1
FALSE POSITIVE,245.059374,0.0927,9.549,1.65E+02,1.63,15.1
CANDIDATE,142.703888,0.062,5.808,2.26E+02,1.95,11
CANDIDATE,3.38080537,0.067,3.275,2.01E+02,1.69,11.6
CANDIDATE,10.4716194,0.184,4.512,1.24E+02,1.74,11.7
CANDIDATE,11.49500229,0.911,7.602,5.14E+01,1.53,22.9
FALSE POSITIVE,0.708726708,0.28,0.753,3.14E+02,0.92,13.4
FALSE POSITIVE,283.72675,0.3461,15.49,8.46E+01,1.18,9.3
FALSE POSITIVE,373.60683,0.588,8.752,5.35E+02,2.5,9.3
CANDIDATE,6.78788113,0.022,2.26,7.31E+01,2.44,7.8
CANDIDATE,5.47455167,0.931,3.71,7.32E+01,1.4,10.8
CANDIDATE,3.43861067,0.629,1.264,4.68E+01,1.01,9.5
CANDIDATE,4.8754765,0.084,1.902,3.96E+01,0.8,8.8
FALSE POSITIVE,4.29388808,0.272,3.618,1.11E+02,1.68,17.9
FALSE POSITIVE,13.5437884,1.269,5.7076,6.61E+03,32.21,114.4
CONFIRMED,65.6491001,0.038,7.298,9.84E+02,2.52,20.5
CONFIRMED,25.1593389,0.035,5.198,3.58E+02,1.76,13.1
CANDIDATE,10.5071781,0.232,2.68,2.72E+02,1.41,11.1
CONFIRMED,31.7787564,0.29,8.093,2.62E+02,1.5,25.9
CANDIDATE,5.4398033,0.136,3.256,8.55E+01,1,8.4
FALSE POSITIVE,1.332568744,0.751,3.755,2.41E+01,0.58,29.1
CANDIDATE,9.0194714,0.2805,5.92,1.92E+02,1.07,7.2
CANDIDATE,8.8493948,0.819,6.928,4.38E+01,0.82,12.1
CANDIDATE,51.567801,0.554,5.514,2.10E+02,1.3,13.5
CANDIDATE,16.4491515,0.866,6.696,7.09E+01,2.75,11
CANDIDATE,0.428046051,0.041,0.776,1.26E+02,0.87,14.1
FALSE POSITIVE,0.814278961,0.451,2.087,7.20E+01,0.76,13
CANDIDATE,19.254536,0.806,4.754,1.86E+02,1.32,9.2
FALSE POSITIVE,2.1890751,0.048,2.365,9.48E+01,0.87,12.6
CANDIDATE,384.6961,0.5221,6.167,7.87E+02,1.78,8.2
FALSE POSITIVE,2.42649862,0.673,2.014,2.92E+01,0.75,15.2
FALSE POSITIVE,8.80854183,0.993,34.7564,1.75E+02,2.69,137.3
FALSE POSITIVE,219.74735,0.097,22.48,1.90E+02,3.24,12.7
FALSE POSITIVE,19.7639874,0.489,12.319,5.13E+01,1.19,13.5
CANDIDATE,6.05919881,0.438,1.365,1.54E+02,1.21,11.7
CONFIRMED,7.5143967,0.399,4.865,3.63E+01,0.96,9.8
CONFIRMED,33.1981761,0.826,4.709,3.37E+02,3.21,11.8
CONFIRMED,5.32784157,0.116,4.696,8.72E+01,0.86,15.9
CANDIDATE,71.05457555,0.061,1.9162,4.85E+03,5.91,95.9
CANDIDATE,20.5512722,0.946,4.639,1.91E+02,1.64,20
CONFIRMED,31.827649,0.785,1.639,5.20E+02,4.98,16.4
CANDIDATE,7.5861587,0.858,4.32,1.17E+02,1.07,10.8
CANDIDATE,0.824000125,0.7697,0.855,1.83E+02,0.42,12.3
FALSE POSITIVE,0.772152075,1.009,1.78,4.36E+01,4.44,13.6
CANDIDATE,42.04952379,0.23,2.1372,6.08E+02,1.19,5.1
FALSE POSITIVE,1.08469871,0.672,4.077,1.24E+02,1.11,16.9
CANDIDATE,6.60180003,0.204,2.624,2.13E+02,1.25,8.1
CANDIDATE,3.19938075,0.268,1.761,7.61E+01,0.62,9.8
CANDIDATE,3.04185157,0.176,1.434,6.90E+01,0.71,11.1
FALSE POSITIVE,5.660274452,1.092,0.9077,4.14E+02,11.02,26.4
FALSE POSITIVE,1.23512429,0.556,4.22,1.52E+01,0.38,15.7
FALSE POSITIVE,1.381257093,0.351,1.125,9.23E+01,1.1,11
CANDIDATE,1.89873195,0.197,1.382,7.80E+01,0.93,10.2
CANDIDATE,11.39110963,0.569,2.749,5.93E+02,1.9,12.1
CONFIRMED,2.41810158,0.016,2.144,4.68E+01,0.85,13.4
CANDIDATE,7.13044117,0.068,2.566,3.19E+01,1.18,10.5
CONFIRMED,33.4203001,0.789,5.307,4.37E+02,2.46,8.9
FALSE POSITIVE,58.3437362,1.246,22.482,1.27E+03,93.55,75
FALSE POSITIVE,1.070982122,0.563,1.255,4.34E+01,0.98,9
CANDIDATE,18.0939004,0.445,3.294,4.67E+02,1.91,11.6
CANDIDATE,34.9524256,1.225,1.717,6.77E+02,21.74,15.8
FALSE POSITIVE,23.81578356,0.958,3.7591,4.86E+03,8.4,71
CONFIRMED,31.1748311,0.016,3.79,2.00E+02,1.31,17
FALSE POSITIVE,0.474811162,0.44,1.169,2.05E+02,1.28,17.4
CONFIRMED,47.0568476,0.027,5.2232,1.53E+03,2.84,38
FALSE POSITIVE,367.73299,0.0064,10.158,5.04E+02,2.1,11.2
CANDIDATE,15.1516409,0.173,5.105,1.92E+02,1.38,11.4
CANDIDATE,7.4213444,0.1732,2.361,3.16E+02,1.73,8.7
FALSE POSITIVE,0.743495989,1.144,2.255,1.73E+02,11.82,26
FALSE POSITIVE,1.405887031,0.364,1.184,2.16E+02,0.95,13.8
CANDIDATE,17.7412303,0.065,4.816,1.45E+02,1.14,9.2
CANDIDATE,2.63527677,0.646,1.997,7.04E+01,0.76,10.7
FALSE POSITIVE,1.45728997,0.749,3.582,7.13E+01,0.93,15.5
CANDIDATE,147.388124,0.005,8.781,9.09E+02,3.03,15.8
CANDIDATE,4.11497357,0.396,3.025,1.54E+02,1.17,9.7
FALSE POSITIVE,1.245331397,0.649,2.566,3.81E+01,1.61,26.5
FALSE POSITIVE,1.52593737,0.681,1.958,1.59E+02,1.39,9.6
FALSE POSITIVE,8.21429932,0.667,3.099,7.07E+01,1.66,19.7
FALSE POSITIVE,1.54945486,0.228,6.698,2.18E+01,1.34,20.9
FALSE POSITIVE,8.42943991,0.82,2.441,8.91E+01,1.19,19.7
CONFIRMED,10.60052083,0.729,4.509,6.09E+01,1.09,17.4
FALSE POSITIVE,0.9570701,,2.75,,,
CONFIRMED,21.8634638,0.502,3.542,8.71E+02,2.37,9.9
FALSE POSITIVE,86.4392931,1.28,6.534,1.18E+03,35.31,20.5
CONFIRMED,63.3354719,0.029,3.651,9.83E+02,1.18,13
FALSE POSITIVE,14.77820911,1.258,5.395,1.08E+04,44.48,123.1
FALSE POSITIVE,15.60862948,1.171,6.6957,3.44E+04,39.42,186
FALSE POSITIVE,389.14115,0.0973,7.93,3.47E+02,1.67,10.1
FALSE POSITIVE,365.78863,0.1564,12.76,8.85E+02,2.21,10.5
FALSE POSITIVE,2.4826619,0.731,2.115,3.70E+01,0.8,10
FALSE POSITIVE,2.17811908,0.3437,1.468,7.40E+01,0.8,9.8
FALSE POSITIVE,1.11205787,0.008,1.459,1.19E+02,1.02,16.1
FALSE POSITIVE,224.447413,0.4162,4.986,6.51E+02,2.05,7.9
CANDIDATE,7.5019743,0.442,2.582,2.48E+02,1.19,9.1
FALSE POSITIVE,21.8660922,0.057,2.03,3.02E+02,1.88,9.2
FALSE POSITIVE,5.09506,0.691,5.73,2.36E+01,2.14,7.6
CANDIDATE,29.1206519,0.195,2.89,4.16E+02,1.6,9.7
CONFIRMED,0.689967868,0.119,1.1688,1.23E+02,0.78,28.7
FALSE POSITIVE,1.89132292,0.709,5.607,1.60E+01,0.9,14.8
CANDIDATE,6.91261536,0.656,2.359,3.44E+01,0.64,12
CANDIDATE,25.8616058,0.855,7.78,1.23E+02,1.12,8.5
FALSE POSITIVE,0.918420801,0.656,3.533,5.67E+01,1.14,40.3
FALSE POSITIVE,0.573709256,0.69,1.4932,1.31E+02,7.05,37.5
CANDIDATE,13.8353959,0.94,4.961,8.18E+02,3.78,10.3
CANDIDATE,18.9060921,0.004,4.125,3.76E+02,0.87,11.9
CANDIDATE,25.6970688,0.943,3.739,8.35E+02,3.83,6.4
FALSE POSITIVE,46.9434911,0.213,1.368,1.01E+02,1.57,6.6
CANDIDATE,19.5906103,0.529,6.745,2.97E+02,2.64,24.9
CONFIRMED,8.23983041,0.012,5.619,2.51E+02,2.35,29.4
CANDIDATE,6.07855,0.3408,3.408,1.03E+02,1.14,10.4
FALSE POSITIVE,427.65334,0.4355,11.17,1.57E+02,1.97,7.2
FALSE POSITIVE,412.041857,0.1068,5.572,1.96E+03,3.77,12.3
CANDIDATE,2.131660527,0.036,1.8585,3.22E+01,0.56,15.7
CANDIDATE,5.75902182,0.329,2.687,7.08E+01,0.91,9.9
CANDIDATE,0.903763067,0.0938,0.562,2.68E+02,1.08,12.6
FALSE POSITIVE,0.9628348,0.309,2.259,9.28E+01,0.81,7.6
CANDIDATE,5.66494448,0.4638,4.173,4.60E+01,0.78,11.4
FALSE POSITIVE,1.57017249,0.085,2.257,1.58E+02,0.82,10.2
FALSE POSITIVE,0.566798364,0.487,3.172,3.86E+01,0.66,14.1
FALSE POSITIVE,3.22452656,0.0995,5.156,5.75E+01,24.48,24.3
FALSE POSITIVE,1.89127438,0.514,4.491,3.23E+01,2.03,24.6
FALSE POSITIVE,1.33256944,0.456,3.89,2.06E+01,0.46,18.8
CONFIRMED,66.6504521,0.433,5.744,5.37E+02,1.56,27.1
FALSE POSITIVE,55.7002642,0.2976,4.285,3.33E+02,1.18,10.8
CONFIRMED,3.54553077,0.143,4.143,1.19E+02,1.62,18.1
CANDIDATE,85.0624157,0.819,4.6964,4.19E+04,21.26,495.3
FALSE POSITIVE,10.88241656,1.199,5.4674,1.66E+04,29.69,265.2
FALSE POSITIVE,25.19830439,1.069,5.1942,7.38E+04,46.14,1669.4
CANDIDATE,14.3196417,0.533,3.781,2.16E+02,2.06,12.5
FALSE POSITIVE,0.50727675,0.429,2.32,2.15E+02,1.7,33.5
CANDIDATE,5.2736268,0.595,5.291,8.61E+01,0.89,8.7
CANDIDATE,24.5041103,0.178,6.065,1.20E+02,1.03,11.3
FALSE POSITIVE,1.316398648,0.392,1.169,1.83E+02,1.09,13.1
FALSE POSITIVE,419.4596,0.0167,13.53,1.32E+02,2.1,8.4
CANDIDATE,9.97202023,0.401,1.425,3.30E+02,1.26,8.6
FALSE POSITIVE,14.2005007,1.106,5.232,8.06E+01,13.28,10.6
FALSE POSITIVE,1.318347743,0.427,0.871,1.13E+02,1.23,10.6
FALSE POSITIVE,5.5834987,0.7862,2.484,8.74E+01,1.41,11.8
FALSE POSITIVE,1.12401084,0.297,3.052,4.36E+01,0.61,10
FALSE POSITIVE,1.21374652,0.57,3.371,2.89E+01,0.59,17.4
CONFIRMED,5.24970432,0.248,2.746,6.19E+01,0.67,13.9
FALSE POSITIVE,45.4333769,0.959,6.351,9.06E+02,2.23,18.1
CANDIDATE,40.3511707,0.079,3.97,5.34E+02,1.88,11.3
CANDIDATE,72.9332762,0.106,3.829,7.70E+02,2.45,11.3
CONFIRMED,56.6746666,0.626,5.516,8.83E+02,4.01,22.7
FALSE POSITIVE,63.9005941,1.194,8.2789,1.71E+04,25.91,110.8
CANDIDATE,12.6878176,0.921,4.262,2.93E+02,2.16,13.5
CANDIDATE,483.36405,0.614,15.61,2.85E+02,1.27,8.3
CONFIRMED,16.2951259,0.494,3.678,1.98E+02,1.15,13
FALSE POSITIVE,18.17304501,0.674,10.9113,6.99E+04,24.39,1820.5
FALSE POSITIVE,14.12678065,1.254,5.9303,7.65E+03,31.13,127.1
FALSE POSITIVE,358.56462,0.4108,11.64,1.70E+02,0.99,9.6
CANDIDATE,12.0729757,0.312,3.783,9.95E+01,1.69,9.7
FALSE POSITIVE,1.337561836,0.055,1.575,4.10E+01,1.11,9.5
FALSE POSITIVE,2.23755641,0.182,2.089,1.01E+02,0.93,7.3
CANDIDATE,82.401274,0.703,6.48,4.31E+02,2.21,10.1
CANDIDATE,11.91256675,0.174,6.126,1.23E+02,2.61,27.8
CANDIDATE,4.08197713,0.328,2.943,2.62E+01,0.6,9.3
FALSE POSITIVE,1.035268597,0.3845,0.5663,1.12E+02,1.34,15.1
FALSE POSITIVE,359.3259,0.2279,9.836,2.46E+02,3.6,13.5
FALSE POSITIVE,0.566805268,0.069,3.721,3.57E+01,0.65,12.5
CANDIDATE,0.912179022,0.038,1.332,1.45E+02,0.65,10.3
CONFIRMED,12.27057043,0.026,3.002,2.96E+02,1.67,18.7
CONFIRMED,13.2274753,0.803,6.356,2.30E+02,1.94,16.4
CANDIDATE,76.87935893,0.864,2.3819,2.13E+04,7.71,131
FALSE POSITIVE,0.559517155,0.328,0.596,5.79E+01,1.04,12.7
CANDIDATE,13.0151826,0.852,3.613,3.32E+02,1.36,11.9
FALSE POSITIVE,29.47316279,1.362,6.4327,1.26E+04,48.98,179.3
FALSE POSITIVE,0.580725004,0.137,2.071,1.05E+02,0.85,18
FALSE POSITIVE,1.94468659,1.1592,18.22,4.56E+02,69.59,17.1
CANDIDATE,7.28116667,0.1,2.716,3.34E+02,1.4,11.5
FALSE POSITIVE,383.10017,0.1365,8.8,5.79E+02,2.18,10
CANDIDATE,2.87998334,0.22,1.658,1.17E+02,0.85,9.9
FALSE POSITIVE,0.605556082,0.176,1.2399,1.02E+02,0.86,15.3
CONFIRMED,4.36125889,0.374,2.174,1.89E+02,1.2,10.7
CANDIDATE,21.08678557,0.702,0.978,5.00E+02,2.08,11
FALSE POSITIVE,1.19087362,0.393,1.785,6.75E+01,0.73,8
FALSE POSITIVE,1.06484622,0.242,3.287,4.24E+01,0.72,12.5
FALSE POSITIVE,0.969824139,0.332,0.783,2.31E+01,0.49,6.8
FALSE POSITIVE,190.60563,0.0108,14.33,1.54E+02,1.6,11.6
CANDIDATE,5.19206571,0.847,3.716,6.66E+01,0.99,10.5
CANDIDATE,449.01499,0.2182,12.58,9.42E+01,1.04,8.5
FALSE POSITIVE,8.480305,0.766,6.19,3.04E+02,1.33,11.5
FALSE POSITIVE,410.11676,0.243,13.97,2.17E+02,1.41,11.2
CONFIRMED,54.5091549,0.94,5.125,6.22E+02,1.94,17
CANDIDATE,17.4532945,0.357,4.027,7.93E+01,0.76,12
CANDIDATE,14.1959621,0.786,3.605,1.96E+02,1.66,14.1
FALSE POSITIVE,11.52482874,1.205,1.724,5.78E+02,22.56,16.2
FALSE POSITIVE,46.84008579,4.652,3.8198,6.29E+03,428.62,147.9
CANDIDATE,6.70242786,0.369,1.221,6.53E+01,1.82,8.8
FALSE POSITIVE,0.992798625,1.219,3.5065,5.83E+02,29.26,79.1
CANDIDATE,7.79534033,0.282,3.406,1.02E+02,1.07,10.2
FALSE POSITIVE,186.72243,0.4736,13.35,3.26E+02,1.84,11.5
FALSE POSITIVE,118.4039,0.4062,5.593,4.26E+02,3.46,4.4
FALSE POSITIVE,182.281992,0.2425,8.828,5.09E+02,1.67,8.7
CANDIDATE,2.40174996,0.47,1.413,2.54E+02,0.65,13.2
FALSE POSITIVE,10.0102876,0.5667,5.33,1.27E+02,0.69,7
CANDIDATE,115.238544,0.965,7.653,5.17E+02,3.17,10.6
CANDIDATE,21.7434141,0.906,8.143,1.55E+02,2.23,15.8
FALSE POSITIVE,1.366964704,0.517,2.3181,5.97E+01,0.79,3.3
FALSE POSITIVE,0.77957913,0.183,2.457,7.04E+01,0.71,11.1
FALSE POSITIVE,0.544561598,0.214,1.6053,3.52E+01,44.9,31.1
CANDIDATE,5.6795377,0.196,3.757,5.20E+01,1.16,12.5
FALSE POSITIVE,17.4453133,0.23,5.14,3.28E+02,5.38,12.2
FALSE POSITIVE,2.9788702,,9.3,,,
FALSE POSITIVE,1.97515457,0.027,2.633,6.61E+01,0.92,9.2
